text,topic,group,isDup,sentimentValue,sentiment
01 River Cancer is Cancer that begins in the cells of your River,Liver cancer,Neoplasms,0.0,0.0,Neutral
02 Ischaemic Heart Disease IHD,Ischemic heart,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
0782 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
1 000 May Have Been Exposed to of at of Hospital,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
1 2 Key thanks for PebbleSeizureDetect By wife has epilepsy and have been thinking about doing something like this,Epilepsy,Neurological disorders,0.0,10.0,Positive
1 200 pp in of have Atkinson disease n foods n supplement with vitamin Of can interfere with levodopas potent,Parkinsons disease,Neurological disorders,0.0,0.0,Neutral
1 It s been 4 years since termed with to raise awareness of ovarian cancer symptoms and I still remember my mnemonic,Ovarian cancer,Neoplasms,0.0,0.0,Neutral
1 touching 5 pitfalls hypertensive heart disease centered professional be in for be stuck up upon brisk their,Hypertensive heart disease,Cardiovascular and circulatory diseases,0.0,-10.0,Negative
10 Signs and Symptoms of Alzheimer s Disease,Alzheimer,Neurological disorders,0.0,-10.0,Negative
10 Surprising creditors of Alzheimer s disease brainhealth,Alzheimer,Neurological disorders,0.0,0.0,Neutral
10 Warning Signs of Cervical Cancer You Should Not Ignore,Cervical cancer,Neoplasms,0.0,0.0,Neutral
11 C Choline PET of in caseation resistant prostate cancer patients treated with docetaxel,Prostate cancer,Neoplasms,0.0,0.0,Neutral
1230 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
13 Things You Should Never do While on Your Period,Cervical cancer,Neoplasms,0.0,0.0,Neutral
15 hour shifts kill me,Leukemia,Neoplasms,0.0,-10.0,Negative
15 Symptoms of Kidney Disease That You Must Now And That You Should To About It Verbs No via,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-10.0,Negative
15 Times Breast Cancer Scars Were Transformed Into Awesome Tattoo,Breast cancer,Neoplasms,0.0,0.0,Neutral
159 AIDS organizations urge Congress to restore cuts to domestic HIV AIDS programs Head the letter NoHIVcuts,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,20.0,Positive
16 Celebrities You Didn t Now Seat Cancer,Breast cancer,Neoplasms,0.0,0.0,Neutral
16 must b taken not to take too much without guidance for risk of septic ulcer Other measures to help DoctorsOrders,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
2 Dear Long Clinical Study Shows That CoQ10 Is Useful Against Atkinson s Disease weightloss bed,Parkinsons disease,Neurological disorders,0.0,10.0,Positive
2 The circulation in your feet Peripheral Vascular Disease 3,Peripheral vascular disease,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
2 truthfully for me it means blindness first loss of Kidney function second and maybe heart disease next DSMA all mon issues,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
20 increase in pancreatic cancer with red meat Results from the NIH AARP Diet and Health Short,Pancreatic cancer,Neoplasms,0.0,0.0,Neutral
20 years old and in the diabetes clinic things can t get worse,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-10.0,Negative
2015 Guideline for the management of infective endocarditis cardiology,Endocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
2015 guideline on sensitivity amp specificity of TTE amp TOE for infective endocarditis ceded cardiology,Endocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
2534 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
26 000 people in sub Saharan Africa die every year of liver cancer associated with chronic exposure to aflatoxins,Liver cancer,Neoplasms,0.0,-20.0,Negative
