time,text,topic,group,id,isDup
2015-12-17T02:36:20.000Z,01 River Cancer is Cancer that begins in the cells of your River,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17,
2015-12-16T23:52:22.000Z,02 Ischaemic Heart Disease IHD,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-19T18:21:39.000Z,0782 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Prostate cancer,Neoplasms,6.78E+17,
2015-12-18T02:39:27.000Z,1 000 May Have Been Exposed to of at of Hospital,Non-Hodgkin lymphoma,Neoplasms,6.78E+17,
2015-12-16T22:59:50.000Z,1 2 Key thanks for PebbleSeizureDetect By wife has epilepsy and have been thinking about doing something like this,Epilepsy,Neurological disorders,6.77E+17,
2015-12-19T23:08:48.000Z,1 200 pp in of have Atkinson disease n foods n supplement with vitamin Of can interfere with levodopas potent,Breast cancer,Neoplasms,6.78E+17,
2015-12-19T23:52:47.000Z,1 It s been 4 years since termed with to raise awareness of ovarian cancer symptoms and I still remember my mnemonic,Epilepsy,Neurological disorders,6.78E+17,
2015-12-26T08:52:22.000Z,1 touching 5 pitfalls hypertensive heart disease centered professional be in for be stuck up upon brisk their,Parkinsons disease,Neurological disorders,6.81E+17,
2015-12-23T05:09:55.000Z,10 Signs and Symptoms of Alzheimer s Disease,Parkinsons disease,Neurological disorders,6.80E+17,
2015-12-19T18:44:15.000Z,10 Surprising creditors of Alzheimer s disease brainhealth,Pancreatic cancer,Neoplasms,6.78E+17,
2015-12-17T11:22:09.000Z,10 Warning Signs of Cervical Cancer You Should Not Ignore,myocarditis,Cardiovascular and circulatory diseases,6.77E+17,
2015-12-16T22:59:51.000Z,11 C Choline PET of in caseation resistant prostate cancer patients treated with docetaxel,multiple sclerosis,Neurological disorders,6.77E+17,
2015-12-19T23:48:52.000Z,1112 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Asthma,Chronic respiratory diseases,6.78E+17,
2015-12-16T20:19:06.000Z,1230 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-16T23:55:05.000Z,13 Things You Should Never do While on Your Period,Pneumoconiosis,Chronic respiratory diseases,6.77E+17,
2015-12-19T13:30:40.000Z,15 hour shifts kill me,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-26T23:51:16.000Z,15 Symptoms of Kidney Disease That You Must Now And That You Should To About It Verbs No via,Leukemia,Neoplasms,6.81E+17,
2015-12-19T14:56:49.000Z,15 Times Breast Cancer Scars Were Transformed Into Awesome Tattoo,Pancreatic cancer,Neoplasms,6.78E+17,
2015-12-23T23:36:55.000Z,159 AIDS organizations urge Congress to restore cuts to domestic HIV AIDS programs Head the letter NoHIVcuts,Epilepsy,Neurological disorders,6.80E+17,
Sat Dec 12 01:44:07 +0000 2015,16 Celebrities You Didn t Now Seat Cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,
Sun Dec 13 03:53:15 +0000 2015,16 must b taken not to take too much without guidance for risk of septic ulcer Other measures to help DoctorsOrders,Leukemia,Neoplasms,6.76E+17,
2015-12-19T16:01:41.000Z,2 Dear Long Clinical Study Shows That CoQ10 Is Useful Against Atkinson s Disease weightloss bed,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-26T14:17:19.000Z,2 The circulation in your feet Peripheral Vascular Disease 3,Cervical cancer,Neoplasms,6.81E+17,
2015-12-26T23:39:17.000Z,2 truthfully for me it means blindness first loss of Kidney function second and maybe heart disease next DSMA all mon issues,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,
2015-12-19T23:47:54.000Z,20 increase in pancreatic cancer with red meat Results from the NIH AARP Diet and Health Short,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
Fri Nov 27 11:59:32 +0000 2015,20 years old and in the diabetes clinic things can t get worse,myocarditis,Cardiovascular and circulatory diseases,6.70E+17,
2015-12-26T11:32:54.000Z,2015 Guideline for the management of infective endocarditis cardiology,Pancreatic cancer,Neoplasms,6.81E+17,
Sat Dec 12 15:39:22 +0000 2015,2015 guideline on sensitivity amp specificity of TTE amp TOE for infective endocarditis ceded cardiology,Cervical cancer,Neoplasms,6.76E+17,
2015-12-23T22:34:35.000Z,2534 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Leukemia,Neoplasms,6.80E+17,
2015-12-16T23:48:31.000Z,26 000 people in sub Saharan Africa die every year of liver cancer associated with chronic exposure to aflatoxins,Alzheimer,Neurological disorders,6.77E+17,
2015-12-23T21:18:38.000Z,2649 Parkinsons Disease West selling Took In The Internet,Parkinsons disease,Neurological disorders,6.80E+17,
Fri Dec 11 15:57:15 +0000 2015,2DaysToGo AsthmaAwareness via of asthma 2 days to go till Seat the Breeze asthma awareness,Gall bladder,Digestive diseases (except cirrhosis),6.75E+17,
2015-12-19T23:48:35.000Z,3094 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Breast cancer,Neoplasms,6.78E+17,
2015-12-26T23:15:43.000Z,31dayOTchallenge BoardReform Personalized therapy for multiple sclerosis of,Breast cancer,Neoplasms,6.81E+17,
2015-12-16T16:46:15.000Z,3254 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Kidney cancer,Neoplasms,6.77E+17,
2015-12-26T20:41:14.000Z,350 infants possibly exposed to tuberculosis,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-26T21:44:30.000Z,350 infants possibly exposed to tuberculosis at California hospital,lung cancer,Neoplasms,6.81E+17,
2015-12-26T20:53:41.000Z,350 Infants Possibly Exposed to Tuberculosis by California Hospital Employee,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-26T21:25:51.000Z,350 Infants Possibly Exposed To Tuberculosis It California Hospital Went from CNR,Prostate cancer,Neoplasms,6.81E+17,
2015-12-26T20:41:11.000Z,350 infants possibly exposed to tuberculosis Officials at a May Area hospital are offering antibiotic treatment,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-26T18:50:41.000Z,4 Acts Head more it it it,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-23T23:53:00.000Z,4 an increased risk of prostate cancer It s been a tough week for vitamin said Carried Kann of ABC News These findings,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,
Fri Dec 11 07:21:26 +0000 2015,4000 new cases of HIV Lids reported in Nakuru says official More than 4 000 new cases of AfyaKenya HIVAIDS,Cardiomyopathy,Cardiovascular and circulatory diseases,6.75E+17,
2015-12-26T04:34:51.000Z,41 of people diagnosed with River Cancer are diagnosed in it s earliest stages,ischemic stroke,Cardiovascular and circulatory diseases,6.81E+17,
2015-12-22T02:27:39.000Z,4344 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Liver cancer,Neoplasms,6.79E+17,
