NegativeWords,PositiveWords
accident,access
acute,active
affected,agree
afraid,aided
anxiety,aids
ass,alive
battle,amazing
bleed,approved
bleeding,asleep
blood,assist
chronic,awareness
cold,believe
complexity,benign
complications,best
controversies,better
cough,bless
crazy,blessed
cry,breakthrough
damage,clean
dangerous,cleans
deadly,collaboration
death,comfortable
deaths,control
depressed,curable
detest,cure
detestable,cured
diagnose,cures
diagnosed,defeat
die,discuss
died,eliminated
dies,elimination
dirty,embrace
discharge,encouraging
discrimination,end
disparity,eradicate
drop,essential
effects,excited
elevated,fascinating
enemy,fight
failure,fine
fear,fun
fever,fund
fuck,funding
fucking,funny
groans,God
harm,good
heartbroken,grow
hospitalised,growth
hospitalized,halt
hurt,happy
hurts,healthy
incurable,help
infection,helps
invade,herb
invades,herbs
kill,hope
killed,hopefully
killer,hug
limited,immunised
lost,immunity
lumps,immunized
malignant,impressive
metastasized,improve
miss,improving
misunderstand,infection
misunderstood,inhibitors
morbidity,innovation
mortality,innovations
negative,kiss
obesity,laugh
outbreak,learned
outbreaks,life
pain,lifesaving
painful,love
passed,loved
pitfall,need
pitfalls,nurse
poor,nursed
prevalent,nursing
problem,peace
radiation,positive
rape,prevent
relapse,preventing
risk,prevention
ruin,progress
scared,promise
scary,protect
scream,recovering
screaming,relieves
seizure,remedies
selfish,removed
serious,repair
severe,repellent
shit,resistance
sick,safe
sickness,sanitation
side,save
sorry,saved
spasm,saves
spasms,sleep
spread,smile
starve,speed
sterile,stop
stress,stopped
stressed,strength
struggles,studies
sucks,study
suffer,success
suffering,successful
suspicious,sun
sweat,sunshine
symptom,supply
symptoms,support
thin,survive
tired,survivor
unable,sweet
untreated,teach
upset,thanks
upsetting,treatment
vegetation,vaccinated
victim,vaccination
vomit,vaccine
weep,vaccines
worried,vital
worry,washing
worse,wish
worst,
wrong,
