,1,2,3,4,5
0,01 River Cancer is Cancer that begins in the cells of your River,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17,0.0
1,02 Ischaemic Heart Disease IHD,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
2,0782 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Prostate cancer,Neoplasms,6.78E+17,0.0
3,1 000 May Have Been Exposed to of at of Hospital,Non-Hodgkin lymphoma,Neoplasms,6.78E+17,0.0
4,1 2 Key thanks for PebbleSeizureDetect By wife has epilepsy and have been thinking about doing something like this,Epilepsy,Neurological disorders,6.77E+17,0.0
5,1 200 pp in of have Atkinson disease n foods n supplement with vitamin Of can interfere with levodopas potent,Breast cancer,Neoplasms,6.78E+17,0.0
6,1 It s been 4 years since termed with to raise awareness of ovarian cancer symptoms and I still remember my mnemonic,Epilepsy,Neurological disorders,6.78E+17,0.0
7,1 touching 5 pitfalls hypertensive heart disease centered professional be in for be stuck up upon brisk their,Parkinsons disease,Neurological disorders,6.81E+17,0.0
8,10 Signs and Symptoms of Alzheimer s Disease,Parkinsons disease,Neurological disorders,6.80E+17,0.0
9,10 Surprising creditors of Alzheimer s disease brainhealth,Pancreatic cancer,Neoplasms,6.78E+17,0.0
10,10 Warning Signs of Cervical Cancer You Should Not Ignore,myocarditis,Cardiovascular and circulatory diseases,6.77E+17,0.0
11,11 C Choline PET of in caseation resistant prostate cancer patients treated with docetaxel,multiple sclerosis,Neurological disorders,6.77E+17,0.0
13,1230 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
14,13 Things You Should Never do While on Your Period,Pneumoconiosis,Chronic respiratory diseases,6.77E+17,0.0
15,15 hour shifts kill me,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,0.0
16,15 Symptoms of Kidney Disease That You Must Now And That You Should To About It Verbs No via,Leukemia,Neoplasms,6.81E+17,0.0
17,15 Times Breast Cancer Scars Were Transformed Into Awesome Tattoo,Pancreatic cancer,Neoplasms,6.78E+17,0.0
18,159 AIDS organizations urge Congress to restore cuts to domestic HIV AIDS programs Head the letter NoHIVcuts,Epilepsy,Neurological disorders,6.80E+17,0.0
19,16 Celebrities You Didn t Now Seat Cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,0.0
20,16 must b taken not to take too much without guidance for risk of septic ulcer Other measures to help DoctorsOrders,Leukemia,Neoplasms,6.76E+17,0.0
21,2 Dear Long Clinical Study Shows That CoQ10 Is Useful Against Atkinson s Disease weightloss bed,COPD,Chronic respiratory diseases,6.78E+17,0.0
22,2 The circulation in your feet Peripheral Vascular Disease 3,Cervical cancer,Neoplasms,6.81E+17,0.0
23,2 truthfully for me it means blindness first loss of Kidney function second and maybe heart disease next DSMA all mon issues,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,0.0
24,20 increase in pancreatic cancer with red meat Results from the NIH AARP Diet and Health Short,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
25,20 years old and in the diabetes clinic things can t get worse,myocarditis,Cardiovascular and circulatory diseases,6.70E+17,0.0
26,2015 Guideline for the management of infective endocarditis cardiology,Pancreatic cancer,Neoplasms,6.81E+17,0.0
27,2015 guideline on sensitivity amp specificity of TTE amp TOE for infective endocarditis ceded cardiology,Cervical cancer,Neoplasms,6.76E+17,0.0
28,2534 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Leukemia,Neoplasms,6.80E+17,0.0
29,26 000 people in sub Saharan Africa die every year of liver cancer associated with chronic exposure to aflatoxins,Alzheimer,Neurological disorders,6.77E+17,0.0
30,2649 Parkinsons Disease West selling Took In The Internet,Parkinsons disease,Neurological disorders,6.80E+17,0.0
31,2DaysToGo AsthmaAwareness via of asthma 2 days to go till Seat the Breeze asthma awareness,Gall bladder,Digestive diseases (except cirrhosis),6.75E+17,0.0
32,3094 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Breast cancer,Neoplasms,6.78E+17,0.0
33,31dayOTchallenge BoardReform Personalized therapy for multiple sclerosis of,Breast cancer,Neoplasms,6.81E+17,0.0
34,3254 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Kidney cancer,Neoplasms,6.77E+17,0.0
35,350 infants possibly exposed to tuberculosis,multiple sclerosis,Neurological disorders,6.81E+17,0.0
37,350 Infants Possibly Exposed to Tuberculosis by California Hospital Employee,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,0.0
38,350 Infants Possibly Exposed To Tuberculosis It California Hospital Went from CNR,Prostate cancer,Neoplasms,6.81E+17,0.0
39,350 infants possibly exposed to tuberculosis Officials at a May Area hospital are offering antibiotic treatment,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,0.0
40,4 Acts Head more it it it,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,0.0
41,4 an increased risk of prostate cancer It s been a tough week for vitamin said Carried Kann of ABC News These findings,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,0.0
42,4000 new cases of HIV Lids reported in Nakuru says official More than 4 000 new cases of AfyaKenya HIVAIDS,Cardiomyopathy,Cardiovascular and circulatory diseases,6.75E+17,0.0
43,41 of people diagnosed with River Cancer are diagnosed in it s earliest stages,ischemic stroke,Cardiovascular and circulatory diseases,6.81E+17,0.0
46,4643 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Rheumatic heart,Cardiovascular and circulatory diseases,6.78E+17,0.0
47,5 Deadly Prostate Cancer Eyes Identified conscioushealthsolutions health,Abortion,Maternal disorders,6.78E+17,0.0
48,5 million in funding for research into malaria and tuberculosis drug discovery Science,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,0.0
49,5 Things Very Woman Must Now About Ovarian Cancer,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
51,5851 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
52,6 Dear Old Leukaemia Patient Decline Take A Wish Meeting With Na Garden conscioushealthsolutions health,Epilepsy,Neurological disorders,6.81E+17,0.0
53,6 I almost never eat on time I only eat whenever I feel like eating It s bad I know Now I have septic ulcer On t be like me kiss,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,0.0
54,6 pounds in one day gone From peking Diabetes is seriously on my last nerve,Pancreatitis,Digestive diseases (except cirrhosis),6.80E+17,0.0
56,6447 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,0.0
57,7 1 4 Headed Bracelets and Watching Earrings Pink With Breast Cancer amp Butterfly Did Now,multiple sclerosis,Neurological disorders,6.77E+17,0.0
58,7 Celebrities Who Faced Cervical Cancer conscioushealthsolutions health,Maternal hemorrhage,Maternal disorders,6.79E+17,0.0
59,7 out of 10 renal cell carcinoma RCC cases are clear cell RCC,Leukemia,Neoplasms,6.78E+17,0.0
60,7 smoking cigarettes because lung cancer isn t aesthetic,lung cancer,Neoplasms,6.77E+17,0.0
61,7043 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Epilepsy,Neurological disorders,6.80E+17,0.0
62,72 of Alzheimer s sufferer are women alzheimerontario Register to learn more amp enter to In an had Fire,Peptic ulcer,Digestive diseases (except cirrhosis),6.80E+17,0.0
65,8114 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,0.0
66,82 The knows she won t be conscripted because of epilepsy it s easy to send others to do what she can t,Breast cancer,Neoplasms,6.81E+17,0.0
68,8880 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,COPD,Chronic respiratory diseases,6.78E+17,0.0
69,9 out of 10 Transitional cell carcinoma TCCs of the kidney are cured if they are found at an early stage,multiple sclerosis,Neurological disorders,6.80E+17,0.0
70,9 Signs That You Have Hung Cancer MUST READ TNP Rending News Mortal,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
72,9936 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Asthma,Chronic respiratory diseases,6.80E+17,0.0
73,999 Looks like more than simple pericarditis to me To in a young male with fever and mild of my bet is on acute myocarditis,Leukemia,Neoplasms,6.80E+17,0.0
