time,text,topic,group,id
2015-12-14T02:08:28.000Z,New post Epizyme Presents Updated Data from Going Phase 1 Study of Tazemetostat Showing Objective Unable,Non-Hodgkin lymphoma,Neoplasms,6.76E+17
2015-12-14T03:13:33.000Z,Endocarditis treatments in pursuit to eccentric remedies rCeRCe,Endocarditis,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T08:02:35.000Z,RT of Check out what has to say about RHD this UHCDay,Rheumatic heart,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T10:01:18.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.76E+17
2015-12-14T11:06:30.000Z,RT of Rheumatic heart disease remains a significant cause of cardiovascular mobility and mortality BMJ,Rheumatic heart,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T11:21:47.000Z,Glucagon like reptile 1 prevented abdominal aortic aneurysm development in rats,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T12:55:44.000Z,RT of Research suggests that Chronic Destructive Pulmonary Disease COPD is significantly aggravated by exposure to wood smoke,COPD,Chronic respiratory diseases,6.76E+17
2015-12-14T13:30:18.000Z,RT of Rheumatic heart disease a disease of the world s poorest and most vulnerable communities hot,Rheumatic heart,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T13:55:42.000Z,The patient was actually more complicated than that I couldn t even remember signs of infective endocarditis ShouldntHaveWrittenThat,Endocarditis,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T14:09:39.000Z,Sum Therapeutics Announces Recombinant DNA Advisory Committee s RAC Unanimous Approval of Phase 1 Study Protocol,Non-Hodgkin lymphoma,Neoplasms,6.76E+17
2015-12-14T14:32:14.000Z,Are you a caregiver for a loved one with Chronic Destructive Pulmonary Disease COPD Learn more about how,COPD,Chronic respiratory diseases,6.76E+17
2015-12-14T14:32:16.000Z,Are you a caregiver for a loved one with Chronic Destructive Pulmonary Disease COPD Learn more about how,COPD,Chronic respiratory diseases,6.76E+17
2015-12-14T18:02:59.000Z,Although localised presentations are uncommon in non Hodgkin lympho NHL the goal of treatment should be to cure the dis,Non-Hodgkin lymphoma,Neoplasms,6.76E+17
2015-12-14T18:15:03.000Z,RT of Rheumatic heart disease remains a significant cause of cardiovascular mobility and mortality BMJ,Rheumatic heart,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T18:17:59.000Z,Key PAD research DLBS1033 Treatment in Diabetic With Peripheral Arterial Disease Status Her Success N n 1,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T18:32:41.000Z,Urinary pouring Coming home jolly schweinishaxe apfelwein,Atrial flutter,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T19:13:18.000Z,RT of For ischaemic heart disease leading cause death worldwide genetic reveals causal pathway not discrete subtypes,Ischemic heart,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T20:04:12.000Z,Of anyone knows an excellent heart and surgeon that can perform surgery on an Abdominal aortic aneurysm pus urgently contact,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T20:10:28.000Z,RT of Of anyone knows an excellent heart and surgeon that can perform surgery on an Abdominal aortic aneurysm pus urgently contra,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17
2015-12-14T20:43:55.000Z,Pneumoperitoneum does this patient had history of septic ulcer disease before or an obstructed bowel symptoms,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T01:00:56.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.77E+17
2015-12-15T03:49:38.000Z,Source,Non-Hodgkin lymphoma,Neoplasms,6.77E+17
2015-12-15T05:21:00.000Z,SHMT1 C1420T polymorphism contributes to the risk of non Hodgkin lympho evidence from 7309 patients,Non-Hodgkin lymphoma,Neoplasms,6.77E+17
2015-12-15T05:23:40.000Z,Prolonged Use of Oritavancin for Vancomycin Resistant Enterococcus calcium Prosthetic Valve Endocarditis,Endocarditis,Cardiovascular and circulatory diseases,6.77E+17
