Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
The Creator,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,"Chris Weitz,Gareth Edwards","Action,Adventure,Drama",PG-13,2023.0,133.0,6.9,79.0,80.0,40.775,104.181,10.01.2023,14.08,-39.225
A Haunting in Venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Kenneth Branagh,"Michael Green,Agatha Christie","Crime,Drama,Horror",PG-13,2023.0,103.0,6.5,72.0,60.0,42.471,122.032,09.17.2023,14.28,-17.529000000000003
No Hard Feelings,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,"Gene Stupnitsky,John Phillips","Comedy,Romance",R,2023.0,103.0,6.4,111.0,45.0,50.452,87.247,06.25.2023,15.003,5.451999999999998
National Lampoon's Christmas Vacation,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,John Hughes,Comedy,PG-13,1989.0,97.0,7.5,208.0,28.0,74.516,74.534,12.03.1989,11.75,46.516000000000005
"Planes, Trains & Automobiles","A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion.",John Hughes,John Hughes,"Comedy,Drama",R,1987.0,93.0,7.6,156.0,15.0,49.53,49.53,11.29.1987,7.009,34.53
X,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,Ti West,"Horror,Mystery,Thriller",R,2022.0,105.0,6.5,154.0,1.0,11.765,14.741,03.20.2022,4.275,10.765
Next Goal Wins,"The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0.",Taika Waititi,"Taika Waititi,Iain Morris","Comedy,Drama,Sport",PG-13,2023.0,104.0,6.5,2.5,14.0,6.088,6.088,11.19.2023,2.5,-7.912
Anatomy of a Fall,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness.",Justine Triet,"Arthur Harari,Justine Triet","Crime,Drama,Thriller",R,2023.0,151.0,7.9,17.0,6.2,3.367,18.221,10.15.2023,0.118,-2.833
Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou,Michael Philippou","Bill Hinzman,Daley Pearson,Danny Philippou","Horror,Thriller",R,2022.0,95.0,7.1,106.0,4.5,48.299,91.937,07.30.2023,10.432,43.799
Dumb Money,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.,Craig Gillespie,"Rebecca Angelo,Lauren Schuker Blum,Ben Mezrich","Biography,Comedy,Drama",R,2023.0,105.0,6.9,18.0,30.0,13.925,20.213,09.17.2023,0.221,-16.075
Saw X,A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,Kevin Greutert,"Josh Stolberg,Pete Goldfinger","Horror,Mystery,Thriller",R,2023.0,118.0,6.7,56.0,13.0,53.608,106.226,10.01.2023,18.309,40.608
Gran Turismo,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",Neill Blomkamp,"Jason Hall,Zach Baylin,Alex Tse","Action,Adventure,Drama",PG-13,2023.0,134.0,7.2,60.0,60.0,44.429,121.68,08.27.2023,17.411,-15.570999999999998
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,"Jane Goldman,Neil Gaiman,Matthew Vaughn","Adventure,Family,Fantasy",PG-13,2007.0,127.0,7.6,281.0,70.0,38.635,137.515,08.12.2007,9.17,-31.365
Book Club: The Next Chapter,Follows the new journey of four best friends as they take their book club to Italy for the fun girls trip they never had.,Bill Holderman,"Bill Holderman,Erin Simms",Comedy,PG-13,2023.0,107.0,5.6,5.5,20.0,17.556,28.987,05.14.2023,6.678,-2.443999999999999
Under the Skin,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Jonathan Glazer,"Jonathan Glazer,Walter Campbell,Michel Faber","Drama,Horror,Mystery",R,2013.0,108.0,6.3,154.0,13.3,2.614,5.968,04.06.2014,0.133,-10.686
The Lobster,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,"Efthimis Filippou,Yorgos Lanthimos","Drama,Romance,Sci-Fi",R,2015.0,119.0,7.1,279.0,4.0,9.077,17.581,05.15.2016,0.19,5.077
Vicky Cristina Barcelona,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",Woody Allen,Woody Allen,"Comedy,Drama,Romance",PG-13,2008.0,96.0,7.1,266.0,15.5,23.217,96.409,08.17.2008,3.756,7.716999999999999
Bad Santa,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"John Requa,Glenn Ficarra","Comedy,Crime,Drama",R,2003.0,92.0,7.1,151.0,23.0,60.06,76.491,11.30.2003,12.5,37.06
After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.,Martin Scorsese,Joseph Minion,"Comedy,Crime,Drama",R,1985.0,97.0,7.6,78.0,4.5,10.609,10.609,09.15.1985,0.045,6.109
Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,"Tom Ford,Austin Wright","Drama,Thriller",R,2016.0,116.0,7.5,298.0,22.5,10.663,30.312,11.20.2016,0.493,-11.837
The NeverEnding Story,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,Wolfgang Petersen,"Wolfgang Petersen,Herman Weigel,Michael Ende","Adventure,Drama,Family",PG,1984.0,102.0,7.3,153.0,27.0,20.192,20.285,07.22.1984,4.326,-6.808
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,"John L. Balderston,James Fenimore Cooper,Paul Perez","Action,Adventure,Drama",R,1992.0,112.0,7.7,183.0,40.0,75.506,75.506,09.27.1992,10.977,35.506
Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Matt Bettinelli-Olpin,Tyler Gillett","Guy Busick,R. Christopher Murphy","Action,Comedy,Horror",R,2019.0,95.0,6.9,175.0,6.0,28.714,57.616,08.25.2019,8.016,22.714
Bones and All,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.,Luca Guadagnino,"David Kajganich,Camille DeAngelis","Drama,Horror,Romance",R,2022.0,131.0,6.8,53.0,16.0,7.835,15.135,11.27.2022,2.259,-8.165
Predestination,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","Peter Spierig,Michael Spierig","Michael Spierig,Peter Spierig,Robert A. Heinlein","Action,Drama,Sci-Fi",R,2014.0,97.0,7.4,297.0,5.1,0.068,4.942,01.11.2015,0.044,-5.032
Event Horizon,A rescue crew is tasked with investigating the mysterious reappearance of a spaceship that had been lost for seven years.,Paul W.S. Anderson,Philip Eisner,"Horror,Sci-Fi,Thriller",R,1997.0,96.0,6.6,193.0,60.0,26.673,26.674,08.17.1997,9.512,-33.327
Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,James Wan,Leigh Whannell,"Horror,Mystery,Thriller",PG-13,2010.0,103.0,6.8,333.0,1.5,54.009,100.106,04.03.2011,13.271,52.509
Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Frank Coraci,"Ivan Menchell,Clare Sera","Comedy,Romance",PG-13,2014.0,117.0,6.5,141.0,40.0,46.306,128.006,05.25.2014,14.284,6.305999999999997
Diary of a Wimpy Kid,"Greg Heffley is a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",Thor Freudenthal,"Gabe Sachs,Jackie Filgo,Jeff Filgo","Comedy,Drama,Family",PG,2010.0,94.0,6.2,57.0,15.0,64.004,76.197,03.21.2010,22.126,49.004000000000005
Bad Times at the El Royale,"1969. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",Drew Goddard,Drew Goddard,"Crime,Drama,Mystery",R,2018.0,141.0,7.1,161.0,32.0,17.839,31.883,10.14.2018,7.133,-14.161
Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,"Neil Gaiman,Henry Selick","Animation,Drama,Family",PG,2009.0,100.0,7.7,257.0,60.0,82.436,131.777,02.08.2009,16.85,22.436000000000007
Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland,"Jeff VanderMeer,Alex Garland","Adventure,Drama,Horror",R,2018.0,115.0,6.8,352.0,40.0,32.732,43.071,02.25.2018,11.072,-7.268000000000001
The Worst Person in the World,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",Joachim Trier,"Eskil Vogt,Joachim Trier","Comedy,Drama,Romance",R,2021.0,128.0,7.7,89.0,5.0,3.035,12.688,02.06.2022,0.138,-1.965
The Night Before,"On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.",Jonathan Levine,"Kyle Hunter,Ariel Shaffir,Jonathan Levine","Comedy,Fantasy",R,2015.0,101.0,6.4,80.0,25.0,43.047,52.396,11.22.2015,9.881,18.047
Cruel Intentions,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,Roger Kumble,"Roger Kumble,Choderlos de Laclos","Drama,Romance",R,1999.0,97.0,6.8,201.0,10.5,38.774,76.347,03.07.1999,13.021,28.274
